customer_id,age,club_member_status,fashion_news_frequency
U00000,60,PRE-CREATE,None
U00001,43,LEFT CLUB,None
U00002,53,ACTIVE,Regularly
U00003,44,LEFT CLUB,None
U00004,61,LEFT CLUB,Regularly
U00005,57,LEFT CLUB,None
U00006,43,LEFT CLUB,Regularly
U00007,37,PRE-CREATE,Regularly
U00008,45,LEFT CLUB,Monthly
U00009,59,PRE-CREATE,None
U00010,46,PRE-CREATE,Monthly
U00011,31,LEFT CLUB,None
U00012,65,ACTIVE,Monthly
U00013,23,PRE-CREATE,Monthly
U00014,60,LEFT CLUB,Monthly
U00015,39,ACTIVE,Regularly
U00016,61,PRE-CREATE,Regularly
U00017,30,ACTIVE,Regularly
U00018,20,ACTIVE,None
U00019,57,ACTIVE,None
U00020,44,LEFT CLUB,Monthly
U00021,30,LEFT CLUB,Monthly
U00022,42,PRE-CREATE,None
U00023,33,ACTIVE,Monthly
U00024,62,ACTIVE,Regularly
U00025,45,ACTIVE,Regularly
U00026,62,LEFT CLUB,None
U00027,21,LEFT CLUB,Regularly
U00028,25,PRE-CREATE,Regularly
U00029,47,LEFT CLUB,Monthly
U00030,53,LEFT CLUB,None
U00031,46,LEFT CLUB,Monthly
U00032,50,PRE-CREATE,Monthly
U00033,46,ACTIVE,Monthly
U00034,48,PRE-CREATE,None
U00035,33,LEFT CLUB,None
U00036,51,PRE-CREATE,Monthly
U00037,33,PRE-CREATE,None
U00038,22,LEFT CLUB,None
U00039,33,PRE-CREATE,None
U00040,38,LEFT CLUB,Regularly
U00041,26,ACTIVE,Regularly
U00042,42,LEFT CLUB,Regularly
U00043,63,ACTIVE,Regularly
U00044,44,PRE-CREATE,None
U00045,52,PRE-CREATE,None
U00046,21,ACTIVE,None
U00047,42,LEFT CLUB,Monthly
U00048,19,LEFT CLUB,None
U00049,48,ACTIVE,None
U00050,37,PRE-CREATE,None
U00051,52,LEFT CLUB,Monthly
U00052,52,LEFT CLUB,Regularly
U00053,49,ACTIVE,None
U00054,45,PRE-CREATE,Regularly
U00055,42,PRE-CREATE,Monthly
U00056,61,PRE-CREATE,Monthly
U00057,28,PRE-CREATE,Regularly
U00058,57,LEFT CLUB,Regularly
U00059,43,LEFT CLUB,Monthly
U00060,60,ACTIVE,Regularly
U00061,59,PRE-CREATE,Regularly
U00062,47,ACTIVE,Regularly
U00063,34,PRE-CREATE,None
U00064,31,PRE-CREATE,None
U00065,39,PRE-CREATE,None
U00066,44,PRE-CREATE,Regularly
U00067,48,ACTIVE,Monthly
U00068,52,ACTIVE,None
U00069,32,LEFT CLUB,Regularly
U00070,59,ACTIVE,Regularly
U00071,33,ACTIVE,Regularly
U00072,57,ACTIVE,Regularly
U00073,26,PRE-CREATE,Monthly
U00074,25,LEFT CLUB,Regularly
U00075,47,LEFT CLUB,None
U00076,41,ACTIVE,Monthly
U00077,56,LEFT CLUB,Monthly
U00078,25,ACTIVE,None
U00079,24,LEFT CLUB,Regularly
U00080,37,LEFT CLUB,Monthly
U00081,42,PRE-CREATE,Monthly
U00082,30,ACTIVE,Monthly
U00083,62,LEFT CLUB,Regularly
U00084,24,LEFT CLUB,None
U00085,61,LEFT CLUB,Regularly
U00086,54,ACTIVE,None
U00087,52,PRE-CREATE,Monthly
U00088,41,ACTIVE,Monthly
U00089,59,PRE-CREATE,Regularly
U00090,44,PRE-CREATE,Regularly
U00091,45,PRE-CREATE,Monthly
U00092,47,LEFT CLUB,Regularly
U00093,45,ACTIVE,Monthly
U00094,51,LEFT CLUB,None
U00095,57,LEFT CLUB,None
U00096,47,PRE-CREATE,Monthly
U00097,55,PRE-CREATE,None
U00098,33,ACTIVE,None
U00099,46,ACTIVE,None
U00100,54,LEFT CLUB,Monthly
U00101,42,PRE-CREATE,Regularly
U00102,49,PRE-CREATE,Regularly
U00103,49,ACTIVE,None
U00104,34,PRE-CREATE,None
U00105,56,LEFT CLUB,None
U00106,53,ACTIVE,Monthly
U00107,30,ACTIVE,Regularly
U00108,64,PRE-CREATE,None
U00109,53,ACTIVE,Monthly
U00110,48,LEFT CLUB,Monthly
U00111,49,PRE-CREATE,Regularly
U00112,23,PRE-CREATE,Regularly
U00113,43,LEFT CLUB,Regularly
U00114,37,LEFT CLUB,Monthly
U00115,41,PRE-CREATE,Monthly
U00116,51,PRE-CREATE,None
U00117,65,LEFT CLUB,None
U00118,40,LEFT CLUB,None
U00119,35,PRE-CREATE,None
U00120,32,ACTIVE,Monthly
U00121,30,PRE-CREATE,Regularly
U00122,65,LEFT CLUB,Monthly
U00123,29,ACTIVE,Regularly
U00124,65,PRE-CREATE,None
U00125,64,LEFT CLUB,Monthly
