t_dat,customer_id,article_id,price
2020-01-11,U00476,1000025,83.88
2020-11-11,U00405,1000037,17.93
2020-05-27,U00241,1000178,83.12
2020-12-16,U00229,1000157,5.49
2020-02-01,U00131,1000055,83.49
2020-09-24,U00311,1000135,44.79
2020-05-08,U00154,1000031,9.49
2020-07-21,U00406,1000159,47.97
2020-02-27,U00463,1000127,61.09
2020-01-21,U00263,1000147,27.74
2020-03-10,U00219,1000000,62.79
2020-04-19,U00213,1000047,67.45
2020-02-17,U00499,1000092,11.36
2020-09-18,U00259,1000129,57.09
2020-07-28,U00240,1000011,64.75
2020-06-09,U00382,1000004,38.57
2020-02-12,U00123,1000187,66.77
2020-02-25,U00297,1000188,76.13
2020-03-02,U00180,1000139,36.82
2020-11-06,U00425,1000199,69.36
2020-12-16,U00323,1000046,81.28
2020-02-23,U00397,1000117,8.48
2020-04-02,U00405,1000051,88.26
2020-06-10,U00263,1000101,97.98
2020-09-16,U00129,1000009,75.81
2020-04-10,U00182,1000199,9.49
2020-11-11,U00139,1000031,80.14
2020-07-13,U00380,1000112,89.1
2020-07-11,U00498,1000047,51.64
2020-08-12,U00473,1000132,30.07
2020-02-24,U00217,1000020,45.48
2020-03-18,U00150,1000082,14.64
2020-06-22,U00151,1000078,46.92
2020-12-14,U00085,1000176,46.73
2020-08-02,U00372,1000090,62.8
2020-07-09,U00327,1000014,12.05
2020-11-13,U00186,1000131,80.3
2020-11-06,U00487,1000007,18.42
2020-10-22,U00400,1000112,8.27
2020-02-08,U00398,1000165,39.43
2020-07-19,U00016,1000154,19.42
2020-08-12,U00190,1000113,76.73
2020-10-05,U00271,1000093,42.42
2020-11-09,U00127,1000029,7.44
2020-03-16,U00265,1000099,90.87
2020-02-09,U00396,1000066,71.18
2020-04-20,U00146,1000177,91.15
2020-08-07,U00062,1000034,85.17
2020-08-06,U00460,1000182,46.84
2020-02-26,U00349,1000081,67.78
2020-12-03,U00281,1000138,32.29
2020-05-28,U00080,1000182,71.7
2020-12-21,U00089,1000092,52.82
2020-02-07,U00405,1000035,27.25
2020-08-01,U00184,1000141,58.79
2020-08-26,U00282,1000033,62.52
2020-02-03,U00158,1000101,98.96
2020-12-16,U00269,1000105,77.3
2020-10-03,U00064,1000081,65.38
2020-08-15,U00348,1000132,37.38
2020-09-21,U00300,1000046,77.17
2020-03-14,U00257,1000014,83.15
2020-09-05,U00155,1000042,20.22
2020-12-08,U00177,1000132,89.12
2020-02-09,U00100,1000162,94.9
2020-05-05,U00320,1000077,62.76
2020-02-17,U00328,1000043,60.63
2020-10-05,U00087,1000168,63.7
2020-10-11,U00431,1000144,8.87
2020-01-03,U00023,1000164,77.48
2020-05-21,U00107,1000196,58.78
2020-10-21,U00015,1000127,88.57
2020-09-10,U00328,1000077,50.4
2020-11-13,U00152,1000116,11.86
2020-01-06,U00225,1000106,50.52
2020-04-11,U00310,1000036,34.38
2020-12-11,U00375,1000088,96.69
2020-03-25,U00189,1000131,57.8
2020-06-08,U00238,1000031,30.14
2020-04-05,U00049,1000012,32.28
2020-07-28,U00315,1000107,28.34
2020-03-27,U00167,1000147,72.79
2020-04-25,U00081,1000127,98.62
2020-08-16,U00450,1000078,51.75
2020-02-13,U00258,1000117,95.87
2020-04-19,U00180,1000012,9.75
2020-08-20,U00451,1000167,68.22
2020-05-18,U00004,1000027,45.51
2020-05-24,U00187,1000195,42.91
2020-01-13,U00026,1000145,57.81
2020-06-18,U00147,1000018,41.32
2020-08-25,U00281,1000071,82.58
2020-10-22,U00312,1000030,17.09
2020-02-13,U00191,1000086,57.44
2020-06-25,U00073,1000050,61.63
2020-07-17,U00020,1000011,8.66
2020-12-11,U00411,1000121,53.82
2020-03-20,U00457,1000131,18.14
2020-10-11,U00083,1000100,98.12
2020-12-27,U00153,1000151,36.62
2020-09-18,U00250,1000181,57.91
2020-08-27,U00008,1000094,36.14
2020-02-14,U00298,1000078,79.89
2020-12-28,U00352,1000161,7.5
2020-08-09,U00495,1000167,78.59
2020-10-19,U00116,1000184,9.83
2020-08-06,U00268,1000161,72.79
2020-07-05,U00420,1000174,27.77
2020-10-23,U00056,1000048,6.78
2020-06-14,U00077,1000105,69.91
2020-07-17,U00396,1000156,91.53
2020-12-24,U00031,1000180,17.98
2020-04-18,U00166,1000169,49.97
2020-07-11,U00489,1000044,48.21
2020-09-11,U00279,1000090,68.53
2020-12-22,U00329,1000177,29.85
2020-08-07,U00490,1000063,31.23
2020-05-08,U00482,1000076,77.49
2020-12-07,U00353,1000180,50.97
2020-08-12,U00286,1000184,30.71
2020-02-19,U00346,1000139,40.69
2020-07-27,U00176,1000197,80.63
2020-05-02,U00147,1000182,12.43
2020-08-21,U00131,1000191,50.03
2020-04-27,U00275,1000069,92.7
2020-12-09,U00070,1000027,62.87
2020-10-08,U00124,1000012,67.96
2020-09-08,U00326,1000059,9.93
2020-07-11,U00367,1000120,14.45
